"ApiPath","ApiScope","Target","Method","Separator","MethodStyle","Verb","TaxonomyCategory","IsCaseConformant","IsTaxonomyConformant","DefinitionCount","Layer","File","Line"
"addon._PerfFinish","Internal","addon","_PerfFinish",".","snake_or_mixed","_PerfFinish","Internal","False","True","1","Root","!KRT/Init.lua","283"
"addon._PerfStart","Internal","addon","_PerfStart",".","snake_or_mixed","_PerfStart","Internal","False","True","1","Root","!KRT/Init.lua","272"
"addon.Comms._Payload._DecodeText","Internal","addon.Comms._Payload","_DecodeText",".","snake_or_mixed","_DecodeText","Internal","False","True","1","Modules","!KRT/Modules/Comms.lua","55"
"addon.Comms._Payload._EncodeText","Internal","addon.Comms._Payload","_EncodeText",".","snake_or_mixed","_EncodeText","Internal","False","True","1","Modules","!KRT/Modules/Comms.lua","41"
"addon.Comms._Payload._PackFields","Internal","addon.Comms._Payload","_PackFields",".","snake_or_mixed","_PackFields","Internal","False","True","1","Modules","!KRT/Modules/Comms.lua","108"
"addon.Comms._Payload._SplitFields","Internal","addon.Comms._Payload","_SplitFields",".","snake_or_mixed","_SplitFields","Internal","False","True","1","Modules","!KRT/Modules/Comms.lua","74"
"addon.Controllers.Changes._ui.AcquireRefs","Internal","addon.Controllers.Changes._ui","AcquireRefs",".","PascalCase","AcquireRefs","Internal","True","True","1","Controllers","!KRT/Controllers/Changes.lua","164"
"addon.Controllers.Changes._ui.Localize","Internal","addon.Controllers.Changes._ui","Localize",".","PascalCase","Localize","Internal","True","True","1","Controllers","!KRT/Controllers/Changes.lua","471"
"addon.Controllers.Changes._ui.Refresh","Internal","addon.Controllers.Changes._ui","Refresh",".","PascalCase","Refresh","Internal","True","True","1","Controllers","!KRT/Controllers/Changes.lua","510"
"addon.Controllers.Logger._ui.AcquireRefs","Internal","addon.Controllers.Logger._ui","AcquireRefs",".","PascalCase","AcquireRefs","Internal","True","True","1","Controllers","!KRT/Controllers/Logger.lua","284"
"addon.Controllers.Master._ui.AcquireRefs","Internal","addon.Controllers.Master._ui","AcquireRefs",".","PascalCase","AcquireRefs","Internal","True","True","1","Controllers","!KRT/Controllers/Master.lua","420"
"addon.Controllers.Master._ui.Localize","Internal","addon.Controllers.Master._ui","Localize",".","PascalCase","Localize","Internal","True","True","1","Controllers","!KRT/Controllers/Master.lua","2672"
"addon.Controllers.Master._ui.Refresh","Internal","addon.Controllers.Master._ui","Refresh",".","PascalCase","Refresh","Internal","True","True","1","Controllers","!KRT/Controllers/Master.lua","2834"
"addon.Controllers.Spammer._ui.AcquireRefs","Internal","addon.Controllers.Spammer._ui","AcquireRefs",".","PascalCase","AcquireRefs","Internal","True","True","1","Controllers","!KRT/Controllers/Spammer.lua","130"
"addon.Controllers.Spammer._ui.Localize","Internal","addon.Controllers.Spammer._ui","Localize",".","PascalCase","Localize","Internal","True","True","1","Controllers","!KRT/Controllers/Spammer.lua","524"
"addon.Controllers.Spammer._ui.Refresh","Internal","addon.Controllers.Spammer._ui","Refresh",".","PascalCase","Refresh","Internal","True","True","1","Controllers","!KRT/Controllers/Spammer.lua","772"
"addon.Controllers.Warnings._ui.AcquireRefs","Internal","addon.Controllers.Warnings._ui","AcquireRefs",".","PascalCase","AcquireRefs","Internal","True","True","1","Controllers","!KRT/Controllers/Warnings.lua","55"
