"ApiPath","ApiScope","Target","Method","Separator","MethodStyle","Verb","TaxonomyCategory","IsCaseConformant","IsTaxonomyConformant","DefinitionCount","Layer","File","Line"
"addon:ADDON_LOADED","Public","addon","ADDON_LOADED",":","UPPER","ADDON_LOADED","Event","True","True","1","Root","!KRT/Init.lua","919"
"addon:CHAT_MSG_ADDON","Public","addon","CHAT_MSG_ADDON",":","UPPER","CHAT_MSG_ADDON","Event","True","True","1","Root","!KRT/Init.lua","1151"
"addon:CHAT_MSG_LOOT","Public","addon","CHAT_MSG_LOOT",":","UPPER","CHAT_MSG_LOOT","Event","True","True","1","Root","!KRT/Init.lua","1082"
"addon:CHAT_MSG_MONSTER_YELL","Public","addon","CHAT_MSG_MONSTER_YELL",":","UPPER","CHAT_MSG_MONSTER_YELL","Event","True","True","1","Root","!KRT/Init.lua","1170"
"addon:CHAT_MSG_SYSTEM","Public","addon","CHAT_MSG_SYSTEM",":","UPPER","CHAT_MSG_SYSTEM","Event","True","True","1","Root","!KRT/Init.lua","1109"
"addon:COMBAT_LOG_EVENT_UNFILTERED","Public","addon","COMBAT_LOG_EVENT_UNFILTERED",":","UPPER","COMBAT_LOG_EVENT_UNFILTERED","Event","True","True","1","Root","!KRT/Init.lua","1182"
"addon:PLAYER_DIFFICULTY_CHANGED","Public","addon","PLAYER_DIFFICULTY_CHANGED",":","UPPER","PLAYER_DIFFICULTY_CHANGED","Event","True","True","1","Root","!KRT/Init.lua","1031"
"addon:PLAYER_ENTERING_WORLD","Public","addon","PLAYER_ENTERING_WORLD",":","UPPER","PLAYER_ENTERING_WORLD","Event","True","True","1","Root","!KRT/Init.lua","1041"
"addon:PLAYER_LOGOUT","Public","addon","PLAYER_LOGOUT",":","UPPER","PLAYER_LOGOUT","Event","True","True","1","Root","!KRT/Init.lua","1190"
"addon:Print","Public","addon","Print",":","PascalCase","Print","Event","True","True","1","Root","!KRT/Init.lua","565"
"addon:RAID_INSTANCE_WELCOME","Public","addon","RAID_INSTANCE_WELCOME",":","UPPER","RAID_INSTANCE_WELCOME","Event","True","True","1","Root","!KRT/Init.lua","1009"
"addon:RAID_ROSTER_UPDATE","Public","addon","RAID_ROSTER_UPDATE",":","UPPER","RAID_ROSTER_UPDATE","Event","True","True","1","Root","!KRT/Init.lua","991"
"addon:RegisterEvent","Public","addon","RegisterEvent",":","PascalCase","Register","Event","True","True","1","Root","!KRT/Init.lua","684"
"addon:START_LOOT_ROLL","Public","addon","START_LOOT_ROLL",":","UPPER","START_LOOT_ROLL","Event","True","True","1","Root","!KRT/Init.lua","1138"
"addon:UnregisterEvent","Public","addon","UnregisterEvent",":","PascalCase","Unregister","Event","True","True","1","Root","!KRT/Init.lua","688"
"addon:UPDATE_INSTANCE_INFO","Public","addon","UPDATE_INSTANCE_INFO",":","UPPER","UPDATE_INSTANCE_INFO","Event","True","True","1","Root","!KRT/Init.lua","1036"
"addon.Database.EnsureBootstrapEvents","Public","addon.Database","EnsureBootstrapEvents",".","PascalCase","Ensure","Lifecycle","True","True","1","Root","!KRT/Init.lua","163"
"addon.Database.EnsureLootRuntimeState","Public","addon.Database","EnsureLootRuntimeState",".","PascalCase","Ensure","Lifecycle","True","True","1","Root","!KRT/Init.lua","318"
"addon.Database.EnsureRaidById","Public","addon.Database","EnsureRaidById",".","PascalCase","Ensure","Lifecycle","True","True","1","Root","!KRT/Init.lua","768"
"addon.Database.EnsureRaidByNid","Public","addon.Database","EnsureRaidByNid",".","PascalCase","Ensure","Lifecycle","True","True","1","Root","!KRT/Init.lua","781"
"addon.Database.EnsureRaidSchema","Public","addon.Database","EnsureRaidSchema",".","PascalCase","Ensure","Lifecycle","True","True","1","Root","!KRT/Init.lua","760"
"addon.Database.EnsureServiceNamespace","Public","addon.Database","EnsureServiceNamespace",".","PascalCase","Ensure","Lifecycle","True","True","1","Root","!KRT/Init.lua","281"
"addon.Database.GetCurrentRaid","Public","addon.Database","GetCurrentRaid",".","PascalCase","Get","Query","True","True","1","Root","!KRT/Init.lua","594"
"addon.Database.GetFeatureShared","Public","addon.Database","GetFeatureShared",".","PascalCase","Get","Query","True","True","1","Root","!KRT/Init.lua","428"
"addon.Database.GetItemIndex","Public","addon.Database","GetItemIndex",".","PascalCase","Get","Query","True","True","1","Root","!KRT/Init.lua","423"
"addon.Database.GetLastBoss","Public","addon.Database","GetLastBoss",".","PascalCase","Get","Query","True","True","1","Root","!KRT/Init.lua","603"
"addon.Database.GetNextReset","Public","addon.Database","GetNextReset",".","PascalCase","Get","Query","True","True","1","Root","!KRT/Init.lua","612"
"addon.Database.GetPlayerName","Public","addon.Database","GetPlayerName",".","PascalCase","Get","Query","True","True","1","Root","!KRT/Init.lua","285"
"addon.Database.GetRaidIdByNid","Public","addon.Database","GetRaidIdByNid",".","PascalCase","Get","Query","True","True","1","Root","!KRT/Init.lua","803"
"addon.Database.GetRaidNidById","Public","addon.Database","GetRaidNidById",".","PascalCase","Get","Query","True","True","1","Root","!KRT/Init.lua","794"
"addon.Database.GetRealmName","Public","addon.Database","GetRealmName",".","PascalCase","Get","Query","True","True","1","Root","!KRT/Init.lua","293"
"addon.Database.GetUnitRank","Public","addon.Database","GetUnitRank",".","PascalCase","Get","Query","True","True","1","Root","!KRT/Init.lua","301"
"addon.Database.NormalizeSavedVariablesAfterLoad","Public","addon.Database","NormalizeSavedVariablesAfterLoad",".","PascalCase","Normalize","Transform","True","True","1","Root","!KRT/Init.lua","828"
"addon.Database.PrepareSavedVariablesForSave","Public","addon.Database","PrepareSavedVariablesForSave",".","PascalCase","Prepare","Lifecycle","True","True","1","Root","!KRT/Init.lua","842"
"addon.Database.RequestControllerMethod","Public","addon.Database","RequestControllerMethod",".","PascalCase","Request","Lifecycle","True","True","1","Root","!KRT/Init.lua","250"
"addon.Database.RequireServiceMethod","Public","addon.Database","RequireServiceMethod",".","PascalCase","Require","Lifecycle","True","True","1","Root","!KRT/Init.lua","711"
"addon.Database.SetCurrentRaid","Public","addon.Database","SetCurrentRaid",".","PascalCase","Set","Mutation","True","True","1","Root","!KRT/Init.lua","598"
"addon.Database.SetLastBoss","Public","addon.Database","SetLastBoss",".","PascalCase","Set","Mutation","True","True","1","Root","!KRT/Init.lua","607"
"addon.Database.SetNextReset","Public","addon.Database","SetNextReset",".","PascalCase","Set","Mutation","True","True","1","Root","!KRT/Init.lua","616"
"addon.Database.StripRuntimeRaidCaches","Public","addon.Database","StripRuntimeRaidCaches",".","PascalCase","Strip","Mutation","True","True","1","Root","!KRT/Init.lua","812"
