"Layer","File","LineStart","LineEnd","Function","Type","Exported","Owner","Calls","UsedBy","Cluster","Class","Action","Status"
"Controllers","!KRT/Controllers/Changes.lua","61","67","markChangesDirty","local_function","No","local","","","","structural-pattern","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","68","79","notifyChangesUpdated","local_function","No","local","","","","structural-pattern","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","80","98","getData","field_closure","Yes","local","","","","structural-pattern","extract","new"
"Controllers","!KRT/Controllers/Changes.lua","99","113","rowName","field_closure","Yes","local","","","","structural-pattern","extract","new"
"Controllers","!KRT/Controllers/Changes.lua","114","116","highlightFn","field_closure","Yes","local","","","","structural-pattern","extract","new"
"Controllers","!KRT/Controllers/Changes.lua","117","125","highlightKey","field_closure","Yes","local","","","","structural-pattern","extract","new"
"Controllers","!KRT/Controllers/Changes.lua","126","129","onShow","field_closure","Yes","local","","","","structural-pattern","extract","new"
"Controllers","!KRT/Controllers/Changes.lua","130","134","onHide","field_closure","Yes","local","","","","structural-pattern","extract","new"
"Controllers","!KRT/Controllers/Changes.lua","135","137","localize","field_closure","Yes","local","","","","structural-pattern","extract","new"
"Controllers","!KRT/Controllers/Changes.lua","138","143","update","field_closure","Yes","local","","","","structural-pattern","extract","new"
"Controllers","!KRT/Controllers/Changes.lua","144","155","UI.AcquireRefs","method_dot","Yes","UI","","","","name-collision","rename","new"
"Controllers","!KRT/Controllers/Changes.lua","156","178","bindChangeRow","method_dot","Yes","local","","","","structural-pattern","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","179","191","getNamedPart","local_function","No","local","","","","structural-pattern","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","192","221","BindHandlers","local_function","No","local","","","","name-collision","rename","new"
"Controllers","!KRT/Controllers/Changes.lua","222","232","OnLoadFrame","local_function","No","local","","","","name-collision","rename","new"
"Controllers","!KRT/Controllers/Changes.lua","233","236","localize","field_closure","Yes","local","","","","structural-pattern","extract","new"
"Controllers","!KRT/Controllers/Changes.lua","237","242","refresh","field_closure","Yes","local","","","","api-polymorphic","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","243","247","module:OnLoad","method_colon","Yes","module","","","","api-polymorphic","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","248","269","module:Clear","method_colon","Yes","module","","","","api-polymorphic","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","270","316","module:Select","method_colon","Yes","module","","","","api-polymorphic","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","317","352","module:Add","method_colon","Yes","module","","","","name-collision","rename","new"
"Controllers","!KRT/Controllers/Changes.lua","353","379","module:Edit","method_colon","Yes","module","","","","api-polymorphic","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","380","409","module:Delete","method_colon","Yes","module","","","","api-polymorphic","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","410","417","module:Demand","method_colon","Yes","module","","","","structural-pattern","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","418","468","module:Announce","method_colon","Yes","module","","","","api-polymorphic","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","469","506","UI.Localize","method_dot","Yes","UI","","","","name-collision","rename","new"
"Controllers","!KRT/Controllers/Changes.lua","507","541","UI.Refresh","method_dot","Yes","UI","","","","api-polymorphic","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","542","546","module:Refresh","method_colon","Yes","module","","","","api-polymorphic","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","547","567","initChangesTable","method_dot","Yes","local","","","","structural-pattern","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","568","599","saveChanges","method_dot","Yes","local","","","","structural-pattern","keep","new"
"Controllers","!KRT/Controllers/Changes.lua","600","615","cancelChanges","method_dot","Yes","local","","","","structural-pattern","keep","new"
"Controllers","!KRT/Controllers/Logger.lua","53","67","getRaidQueries","local_function","No","local","","","","name-collision","rename","new"
"Controllers","!KRT/Controllers/Logger.lua","68","96","triggerSelectionEvent","local_function","No","local","","","","structural-pattern","keep","new"
"Controllers","!KRT/Controllers/Logger.lua","97","101","Store:ResolvePlayerNameByNid","method_colon","Yes","Store","","","","structural-pattern","keep","new"
"Controllers","!KRT/Controllers/Logger.lua","102","106","Store:ResolvePlayerClassByNid","method_colon","Yes","Store","","","","structural-pattern","keep","new"
"Controllers","!KRT/Controllers/Logger.lua","107","130","Store:ResolveLootLooterNid","method_colon","Yes","Store","","","","name-collision","rename","new"
"Controllers","!KRT/Controllers/Logger.lua","131","144","Store:ResolveLootLooterName","method_colon","Yes","Store","","","","name-collision","rename","new"
"Controllers","!KRT/Controllers/Logger.lua","145","156","Store:ResolveLootLooterClass","method_colon","Yes","Store","","","","structural-pattern","keep","new"
"Controllers","!KRT/Controllers/Logger.lua","157","161","UI.AcquireRefs","method_dot","Yes","UI","","","","name-collision","rename","new"
"Controllers","!KRT/Controllers/Logger.lua","162","184","resolve","local_function","No","local","","","","structural-pattern","keep","new"
"Controllers","!KRT/Controllers/Logger.lua","185","195","ensureSubmoduleOnLoad","local_function","No","local","","","","structural-pattern","keep","new"
